,Game-title,Genre
406,Sid Meier's Civilization IV Beyond the Sword,Simulator
407,Sid Meier's Civilization IV Colonization,Simulator
408,Sid Meier's Civilization IV Warlords,Simulator
409,Sid Meier's Railroads!,Simulator
410,Sniper Elite,Shooter
411,Sniper Elite V2,Shooter
412,Sniper Ghost Warrior,Genre not found
413,Stronghold 2,Real Time Strategy (RTS)
414,Stronghold Crusader Extreme HD,Real Time Strategy (RTS)
415,Stronghold Crusader HD,Real Time Strategy (RTS)
416,Stronghold HD,Real Time Strategy (RTS)
417,Stronghold Legends,Real Time Strategy (RTS)
418,Synergy,Simulator
419,The Misadventures of P.B. Winterbottom,Platform
420,Unreal Gold,Shooter
421,Unreal II The Awakening,Shooter
422,Unreal Tournament 2004,Shooter
423,Unreal Tournament 3 Black Edition,Shooter
424,Unreal Tournament Game of the Year Edition,Shooter
425,Wolfenstein,Shooter
426,X-COM Apocalypse,Real Time Strategy (RTS)
427,X-COM Enforcer,Shooter
428,X-COM Interceptor,Real Time Strategy (RTS)
429,X-COM Terror from the Deep,Strategy
430,X-COM UFO Defense,Strategy
431,Zombie Driver,Shooter
432,Zombie Panic Source,Shooter
433,F1 2014,Racing
434,Football Manager 2009,Sport
435,Batman Arkham Asylum GOTY Edition,Genre not found
436,Batman Arkham City GOTY,Genre not found
437,Brothers in Arms Earned in Blood,Shooter
438,Brothers in Arms Hell's Highway,Shooter
439,Brothers in Arms Road to Hill 30,Shooter
440,Cabela's Dangerous Hunts 2013,Shooter
441,A Valley Without Wind,Strategy
442,A Valley Without Wind 2,Platform
443,A.R.E.S.,Shooter
444,AI War Fleet Command,Real Time Strategy (RTS)
445,Age of Chivalry,Fighting
446,Air Conflicts Pacific Carriers,Simulator
447,Alien Zombie Megadeath,Platform
448,And Yet It Moves,Platform
449,Anna - Extended Edition,Puzzle
450,Anomaly Warzone Earth,Real Time Strategy (RTS)
451,Antichamber,Platform
452,ArcaniA,Role-playing (RPG)
453,Arma Cold War Assault,Shooter
454,Assassin's Creed II,Platform
455,Assassin's Creed III,Adventure
456,Assassin's Creed Revelations,Adventure
457,Atom Zombie Smasher ,Strategy
458,Avadon The Black Fortress,Role-playing (RPG)
459,Avernum 4,Role-playing (RPG)
460,Avernum 5,Point-and-click
461,Avernum 6,Role-playing (RPG)
462,Avernum Escape From the Pit,Role-playing (RPG)
463,BIT.TRIP RUNNER,Music
464,Batman Arkham City,Hack and slash/Beat 'em up
465,Beatbuddy Tale of the Guardians,Music
466,"Ben There, Dan That!",Point-and-click
467,Blackwell Deception,Point-and-click
468,Blocks That Matter,Platform
469,Blood Bowl Legendary Edition,Sport
470,Braid,Platform
471,Bullet Candy,Shooter
472,Burnout Paradise The Ultimate Box,Racing
473,Cities XL Platinum,Simulator
474,Closure,Adventure
475,Cogs,Puzzle
476,Command and Conquer Red Alert 3 - Uprising,Real Time Strategy (RTS)
477,Confrontation,Genre not found
478,Cortex Command,Shooter
479,Costume Quest,Role-playing (RPG)
480,Crayon Physics Deluxe,Puzzle
481,Crysis Warhead,Shooter
482,Crysis Wars,Shooter
483,DEFCON,Real Time Strategy (RTS)
